,/m/0cycc,isPartial
0,35,False
1,32,False
2,26,False
3,21,False
4,15,False
5,12,False
6,11,False
7,9,False
8,8,False
9,8,False
10,7,False
11,7,False
12,7,False
13,7,False
14,6,False
15,6,False
16,5,False
17,5,False
18,4,False
19,4,False
20,4,False
21,4,False
22,3,False
23,3,False
24,3,False
25,3,False
26,3,False
27,3,False
28,3,False
29,3,False
30,4,False
31,3,False
32,4,False
33,5,False
34,6,False
35,9,False
36,11,False
37,13,False
38,16,False
39,20,False
40,23,False
41,20,False
42,16,False
43,15,False
44,13,False
45,12,False
46,10,False
47,15,False
48,18,False
49,25,False
50,29,False
51,33,False
52,29,False
53,24,False
54,22,False
55,19,False
56,15,False
57,13,False
58,13,False
59,12,False
60,11,False
61,10,False
62,9,False
63,9,False
64,8,False
65,8,False
66,9,False
67,8,False
68,6,False
69,6,False
70,6,False
71,6,False
72,5,False
73,5,False
74,5,False
75,4,False
76,3,False
77,3,False
78,3,False
79,3,False
80,3,False
81,3,False
82,3,False
83,3,False
84,4,False
85,5,False
86,6,False
87,7,False
88,9,False
89,12,False
90,14,False
91,18,False
92,17,False
93,16,False
94,15,False
95,14,False
96,12,False
97,11,False
98,9,False
99,10,False
100,10,False
101,9,False
102,9,False
103,9,False
104,10,False
105,9,False
106,10,False
107,10,False
108,10,False
109,11,False
110,14,False
111,15,False
112,15,False
113,16,False
114,13,False
115,12,False
116,11,False
117,9,False
118,8,False
119,9,False
120,7,False
121,6,False
122,5,False
123,5,False
124,6,False
125,5,False
126,4,False
127,3,False
128,3,False
129,3,False
130,3,False
131,3,False
132,3,False
133,3,False
134,3,False
135,3,False
136,4,False
137,5,False
138,6,False
139,8,False
140,10,False
141,11,False
142,14,False
143,16,False
144,15,False
145,15,False
146,14,False
147,13,False
148,11,False
149,12,False
150,10,False
151,12,False
152,13,False
153,12,False
154,14,False
155,18,False
156,19,False
157,19,False
158,19,False
159,19,False
160,24,False
161,27,False
162,26,False
163,24,False
164,18,False
165,17,False
166,15,False
167,15,False
168,14,False
169,12,False
170,10,False
171,9,False
172,8,False
173,7,False
174,7,False
175,6,False
176,6,False
177,6,False
178,6,False
179,5,False
180,5,False
181,5,False
182,4,False
183,5,False
184,4,False
185,4,False
186,5,False
187,5,False
188,5,False
189,6,False
190,7,False
191,9,False
192,11,False
193,13,False
194,17,False
195,18,False
196,17,False
197,18,False
198,18,False
199,17,False
200,17,False
201,15,False
202,11,False
203,14,False
204,19,False
205,22,False
206,31,False
207,39,False
208,44,False
209,64,False
210,83,False
211,98,False
212,100,False
213,85,False
214,74,False
215,45,False
216,29,False
217,21,False
218,17,False
219,15,False
220,15,False
221,12,False
222,11,False
223,9,False
224,8,False
225,7,False
226,6,False
227,5,False
228,5,False
229,5,False
230,5,False
231,5,False
232,4,False
233,4,False
234,4,False
235,4,False
236,4,False
237,4,False
238,4,False
239,4,False
240,5,False
241,6,False
242,7,False
243,10,False
244,12,False
245,14,False
246,18,False
247,23,False
248,23,False
249,28,False
250,25,False
251,22,False
252,18,False
253,18,False
254,14,False
255,16,False
256,14,False
257,15,False
258,18,False
259,22,False
260,24,False
