Country,G2013,G2015,foi
Algeria,67,33,0.4925373134328358
Moldova,87,13,0.14942528735632185
Armenia,85,15,0.17647058823529413
Pakistan,84,16,0.19047619047619047
Kazakhstan,81,19,0.2345679012345679
Tanzania,87,13,0.14942528735632185
North Korea,57,43,0.7543859649122807
Egypt,67,33,0.4925373134328358
Azerbaijan,73,27,0.3698630136986301
Morocco,68,32,0.47058823529411764
Cuba,64,36,0.5625
Turkmenistan,59,41,0.6949152542372882
Mauritius,78,22,0.28205128205128205
São Tomé & Príncipe,81,19,0.2345679012345679
Iraq,57,43,0.7543859649122807
Tunisia,74,26,0.35135135135135137
Senegal,73,27,0.3698630136986301
Romania,78,22,0.28205128205128205
Philippines,77,23,0.2987012987012987
Ukraine,77,23,0.2987012987012987
Belarus,77,23,0.2987012987012987
Vietnam,78,22,0.28205128205128205
Libya,70,30,0.42857142857142855
Oman,67,33,0.4925373134328358
United Arab Emirates,68,32,0.47058823529411764
Kyrgyzstan,78,22,0.28205128205128205
Botswana,77,23,0.2987012987012987
Comoros,62,38,0.6129032258064516
Sri Lanka,78,22,0.28205128205128205
Bhutan,69,31,0.4492753623188406
Cambodia,68,32,0.47058823529411764
India,73,27,0.3698630136986301
Qatar,67,33,0.4925373134328358
Indonesia,75,25,0.3333333333333333
Palestine,81,19,0.2345679012345679
Jamaica,80,20,0.25
Trinidad & Tobago,65,35,0.5384615384615384
Tajikistan,79,21,0.26582278481012656
Kosovo,75,25,0.3333333333333333
Cameroon,59,41,0.6949152542372882
Djibouti,71,29,0.4084507042253521
Haiti,74,26,0.35135135135135137
Brunei,70,30,0.42857142857142855
Lesotho,72,28,0.3888888888888889
Bahrain,65,35,0.5384615384615384
Malaysia,59,41,0.6949152542372882
Uzbekistan,73,27,0.3698630136986301
Madagascar,70,30,0.42857142857142855
Cape Verde,65,35,0.5384615384615384
Angola,68,32,0.47058823529411764
Syria,63,37,0.5873015873015873
Guinea,45,55,1.2222222222222223
Guinea-Bissau,71,29,0.4084507042253521
Gabon,63,37,0.5873015873015873
Slovakia,76,24,0.3157894736842105
Equatorial Guinea,58,42,0.7241379310344828
Togo,53,47,0.8867924528301887
Kuwait,64,36,0.5625
Tonga,75,25,0.3333333333333333
Colombia,72,28,0.3888888888888889
Greece,67,33,0.4925373134328358
Maldives,78,22,0.28205128205128205
Georgia,79,21,0.26582278481012656
Russia,71,29,0.4084507042253521
French Polynesia,64,36,0.5625
St. Vincent & Grenadines,79,21,0.26582278481012656
Kiribati,59,41,0.6949152542372882
Côte d’Ivoire,58,42,0.7241379310344828
Peru,73,27,0.3698630136986301
Honduras,72,28,0.3888888888888889
Ecuador,77,23,0.2987012987012987
Mayotte,65,35,0.5384615384615384
Latvia,73,27,0.3698630136986301
Mozambique,64,36,0.5625
Congo - Brazzaville,47,53,1.127659574468085
Brazil,58,42,0.7241379310344828
Fiji,70,30,0.42857142857142855
Portugal,65,35,0.5384615384615384
Jordan,69,31,0.4492753623188406
Kenya,82,18,0.21951219512195122
Singapore,61,39,0.639344262295082
Laos,69,31,0.4492753623188406
Panama,64,36,0.5625
St. Helena,72,28,0.3888888888888889
Nicaragua,73,27,0.3698630136986301
Cyprus,67,33,0.4925373134328358
Grenada,73,27,0.3698630136986301
Northern Mariana Islands,73,27,0.3698630136986301
Mongolia,80,20,0.25
Marshall Islands,75,25,0.3333333333333333
Namibia,68,32,0.47058823529411764
Seychelles,66,34,0.5151515151515151
Svalbard & Jan Mayen,43,57,1.3255813953488371
Saudi Arabia,61,39,0.639344262295082
Spain,63,37,0.5873015873015873
Iceland,70,30,0.42857142857142855
Barbados,69,31,0.4492753623188406
Albania,76,24,0.3157894736842105
Guyana,77,23,0.2987012987012987
Mauritania,71,29,0.4084507042253521
Benin,59,41,0.6949152542372882
Niger,64,36,0.5625
Micronesia,72,28,0.3888888888888889
Bangladesh,71,29,0.4084507042253521
Hungary,73,27,0.3698630136986301
Poland,72,28,0.3888888888888889
China,92,8,0.08695652173913043
Gibraltar,57,43,0.7543859649122807
Mali,56,44,0.7857142857142857
Lebanon,57,43,0.7543859649122807
Burkina Faso,50,50,1.0
Suriname,72,28,0.3888888888888889
Dominican Republic,75,25,0.3333333333333333
Central African Republic,54,46,0.8518518518518519
Curaçao,63,37,0.5873015873015873
Anguilla,67,33,0.4925373134328358
Puerto Rico,62,38,0.6129032258064516
Guam,63,37,0.5873015873015873
St. Kitts & Nevis,72,28,0.3888888888888889
Luxembourg,52,48,0.9230769230769231
U.S. Virgin Islands,67,33,0.4925373134328358
Serbia,74,26,0.35135135135135137
Türkiye,68,32,0.47058823529411764
Montserrat,80,20,0.25
Ghana,71,29,0.4084507042253521
Netherlands,53,47,0.8867924528301887
Chile,60,40,0.6666666666666666
Cayman Islands,59,41,0.6949152542372882
Malta,63,37,0.5873015873015873
Caribbean Netherlands,61,39,0.639344262295082
Estonia,71,29,0.4084507042253521
Guatemala,70,30,0.42857142857142855
St. Barthélemy,61,39,0.639344262295082
Croatia,73,27,0.3698630136986301
Dominica,72,28,0.3888888888888889
Zimbabwe,71,29,0.4084507042253521
Nepal,65,35,0.5384615384615384
Yemen,66,34,0.5151515151515151
Mexico,67,33,0.4925373134328358
Chad,50,50,1.0
Czechia,70,30,0.42857142857142855
Sint Maarten,66,34,0.5151515151515151
Norway,62,38,0.6129032258064516
Bulgaria,70,30,0.42857142857142855
Falkland Islands (Islas Malvinas),35,65,1.8571428571428572
Vanuatu,59,41,0.6949152542372882
Bahamas,74,26,0.35135135135135137
Burundi,58,42,0.7241379310344828
Italy,57,43,0.7543859649122807
North Macedonia,73,27,0.3698630136986301
Bermuda,59,41,0.6949152542372882
Eswatini,65,35,0.5384615384615384
San Marino,53,47,0.8867924528301887
Austria,54,46,0.8518518518518519
Liechtenstein,50,50,1.0
Eritrea,40,60,1.5
Paraguay,64,36,0.5625
Slovenia,68,32,0.47058823529411764
St. Lucia,72,28,0.3888888888888889
Turks & Caicos Islands,65,35,0.5384615384615384
Afghanistan,70,30,0.42857142857142855
Andorra,56,44,0.7857142857142857
Monaco,49,51,1.0408163265306123
Uruguay,62,38,0.6129032258064516
South Africa,54,46,0.8518518518518519
British Indian Ocean Territory,67,33,0.4925373134328358
El Salvador,70,30,0.42857142857142855
Macao,62,38,0.6129032258064516
Canada,57,43,0.7543859649122807
Guadeloupe,58,42,0.7241379310344828
Denmark,63,37,0.5873015873015873
Martinique,55,45,0.8181818181818182
Lithuania,73,27,0.3698630136986301
Congo - Kinshasa,51,49,0.9607843137254902
Germany,50,50,1.0
Belgium,56,44,0.7857142857142857
Antigua & Barbuda,69,31,0.4492753623188406
Hong Kong,62,38,0.6129032258064516
Switzerland,51,49,0.9607843137254902
French Guiana,59,41,0.6949152542372882
Aruba,58,42,0.7241379310344828
Argentina,57,43,0.7543859649122807
New Zealand,58,42,0.7241379310344828
British Virgin Islands,66,34,0.5151515151515151
Faroe Islands,62,38,0.6129032258064516
Bosnia & Herzegovina,76,24,0.3157894736842105
Réunion,56,44,0.7857142857142857
Liberia,53,47,0.8867924528301887
Ireland,61,39,0.639344262295082
Belize,70,30,0.42857142857142855
Australia,52,48,0.9230769230769231
Samoa,67,33,0.4925373134328358
Guernsey,47,53,1.127659574468085
Zambia,67,33,0.4925373134328358
Isle of Man,45,55,1.2222222222222223
Nigeria,61,39,0.639344262295082
Israel,70,30,0.42857142857142855
Rwanda,70,30,0.42857142857142855
Jersey,49,51,1.0408163265306123
United States,57,43,0.7543859649122807
Montenegro,70,30,0.42857142857142855
Venezuela,71,29,0.4084507042253521
Palau,57,43,0.7543859649122807
Myanmar (Burma),79,21,0.26582278481012656
Cook Islands,52,48,0.9230769230769231
Sweden,61,39,0.639344262295082
France,53,47,0.8867924528301887
St. Martin,59,41,0.6949152542372882
American Samoa,54,46,0.8518518518518519
Costa Rica,59,41,0.6949152542372882
United Kingdom,55,45,0.8181818181818182
Thailand,74,26,0.35135135135135137
Gambia,63,37,0.5873015873015873
St. Pierre & Miquelon,55,45,0.8181818181818182
Sierra Leone,60,40,0.6666666666666666
Åland Islands,58,42,0.7241379310344828
New Caledonia,54,46,0.8518518518518519
Uganda,69,31,0.4492753623188406
Greenland,67,33,0.4925373134328358
Somalia,73,27,0.3698630136986301
Finland,61,39,0.639344262295082
Papua New Guinea,59,41,0.6949152542372882
Timor-Leste,66,34,0.5151515151515151
Solomon Islands,63,37,0.5873015873015873
Bolivia,45,55,1.2222222222222223
Sudan,68,32,0.47058823529411764
Iran,72,28,0.3888888888888889
Ethiopia,59,41,0.6949152542372882
Malawi,64,36,0.5625
South Korea,71,29,0.4084507042253521
Taiwan,61,39,0.639344262295082
South Sudan,67,33,0.4925373134328358
Japan,52,48,0.9230769230769231
